identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);51;;01 04 99;Déchets non spécifiés ailleurs.;1970;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);57;;10 11 16;Déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 15;657;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);78;;10 11 16;Déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 15;346;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;57;;15 01 02;Emballages en matières plastiques;91.4;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;57;;16 01 17;Métaux ferreux;2570;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);57;;15 01 01;Emballages en papier/carton;7.94;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);57;;15 01 03;Emballages en bois;201;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);57;;17 01 07;Mélanges de béton, briques, tuiles et céramiques autres que ceux visés à la rubrique 17 01 06.;817;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);57;;20 03 01;Déchets municipaux en mélange;165;tonnes/an
0003012705;KNAUF INSULATION LANNEMEZAN;Production de déchets non dangereux;2021;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;68;;16 03 04;Déchets d'origine minérale autres que ceux visés à la rubrique 16 03 03;851;tonnes/an
