identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006308814;GAEC DES TROIS SITES;43797274800010;Châteaufort;44540;SAINT-MARS-LA-JAILLE;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;388351.000000;6723288.000000;2154;0142Z;Élevage d'autres bovins et de buffles;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0006603723;FM FRANCE SAS;36780140400347;1300 rue Keller, ZAE Antoine Lavoisier;30290;LAUDUN;GARD;OCCITANIE;836170.000000;6333287.000000;2154;5210B;Entreposage et stockage non frigorifique;;
0006811303;SAS CAUSSE ET BRUNET;38484412200018;Lieu-dit Mas Viel, Parcelles OG16, 17, 19 et 21;81120;DENAT;TARN;OCCITANIE;634386.000000;6307005.000000;2154;4312A;Travaux de terrassement courants et travaux préparatoires;;
0006505971;Laboratoire CLARINS;42085165100042;5 rue Ampère;95300;PONTOISE;VAL-D'OISE;ILE-DE-FRANCE;632518.000000;6883394.000000;2154;2042Z;Fabrication de parfums et de produits pour la toilette;4.(a).(xi);tensioactifs et agents de surface
0006305254;META-BIO-ENERGIES SAS;49973637900029;ZA de Bel Air, Combrée;49520;POUANCE;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;400882.000000;6743139.000000;;3511Z;Production d'électricité;;
0006519044;TERSEN (ex COSSON (ISDI);77574351100062;Lieu-dit La Fontaine Sainte Geneviève;95380;PUISEUX-EN-FRANCE;VAL-D'OISE;ILE-DE-FRANCE;661923.000000;6885202.000000;2154;4312B;Travaux de terrassement spécialisés ou de grande masse;;
0006209293;GRIS DECOUPAGE SAS;32810101900029;ZI de Lesmenils;54700;LESMENILS;MEURTHE-ET-MOSELLE;GRAND-EST;928178.000000;6874529.000000;2154;2594Z;Fabrication de vis et de boulons;;
0052501135;SOCIETE FROMAGERE DE VERCEL LACTALIS;39024249300018;4 RUE LANCHY;25530;VERCEL-VILLEDIEU-LE-CAMP;DOUBS;BOURGOGNE-FRANCHE-COMTE;957415.000000;6681243.000000;2154;1051C;Fabrication de fromage;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
0009069907;GANIL;99788830000016;Boulevard Henri Becquerel  BP 55027  Cedex 05;14076;CAEN;CALVADOS;NORMANDIE;455091.000000;6906697.000000;27572;7219Z;Recherche-développement en autres sciences physiques et naturelles;;
0006104635;BONTAZ CENTRE;60702024500025;476, avenue du môle, ZI des Valignons - impasse des chênes;74460;MARNAZ;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES;972888.000000;6558727.000000;2154;2562A;Décolletage;;
0005518348;PORZAY T.P. SARL;47952546100014;Stang Ar Bourg;29550;PLOMODIERN;FINISTERE;BRETAGNE;162155.000000;6813402.000000;4326;4312A;Travaux de terrassement courants et travaux préparatoires;;
0052902706;LE ROY (EARL);41787903800012;Guéléran;29880;PLOUGUERNEAU;FINISTERE;BRETAGNE;149056.000000;6859151.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0055002279;PLAINE (EARL DE LA);48357224400018;20, Rue de la Plaine;50170;TANIS;MANCHE;NORMANDIE;372564.000000;6839334.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005403171;SMET NORD EST 71;25710334100026;Route de Lessard le National  Lieu-dit Sur les Bois, #4077;71150;CHAGNY;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE;836575.000000;6644727.000000;2154;3811Z;Collecte des déchets non dangereux;;
0006114308;LIMA;80801291800021;Parc Industriel de la Plaine de l'Ain, 1200 Avenue Guy De La Verpillère;01150;SAINT-VULBAS;AIN;AUVERGNE-RHONE-ALPES;877639.000000;6529881.000000;2154;2512Z;Fabrication de portes et fenêtres en métal;;
0006503322;SARP Industries;30377298200029;451 Route du Hazay, 451 Route du Hazay;78520;LIMAY;YVELINES;ILE-DE-FRANCE;608525.000000;6875522.000000;2154;3822Z;Traitement et élimination des déchets dangereux;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0053400948;PORTES ET APPRAT;30985770400014;DOM DE PORTES;34220;SAINT-PONS-DE-THOMIERES;HERAULT;OCCITANIE;679438.000000;6265454.000000;2154;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0009069917;EDF - Site de Creys-Malville;55208131712583;Hameau de Malville;38510;CREYS-MEPIEU;ISERE;AUVERGNE-RHONE-ALPES;5.477612;45.756303;27572;3513Z;Distribution d'électricité;;
0052900036;JEAN PIERRE TALLEC L'HERITAGE DU GOUT;57202153300045;Site de Moustoulgoat, 59 RUE DE SCAER;29380;BANNALEC;FINISTERE;BRETAGNE;200305.000000;6780875.000000;2154;1013A;Préparation industrielle de produits à base de viande;;
0005106614;KOGEBAN;49750430800014;23, route de Chaulnes;80190;NESLE;SOMME;HAUTS-DE-FRANCE;692920.000000;6962857.000000;2154;7022Z;Conseil pour les affaires et autres conseils de gestion;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0056401128;SARL ALFA;38945034700015;Route d'Anoye;64350;MASPIE-LALONQUERE-JUILLACQ;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE;445042.000000;6263390.000000;27572;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0054901139;AVENIR (GAEC DE L');38216091900017;La Lardière des Landes, LE LONGERON (49710);49450;SAINT-MACAIRE-EN-MAUGES;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;392303.000000;6668241.000000;4326;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0006108372;Groupe SCAPA FRANCE;38978396000070;79 allée Bernard Palissy, ZI des Auréats;26000;VALENCE;DROME;AUVERGNE-RHONE-ALPES;849009.000000;6423566.000000;4326;2219Z;Fabrication d'autres articles en caoutchouc;;
0009076402;STEP - LESCAR;24640172300019;ZI Induspal - rue d'Arsonval;64230;LESCAR;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE;-0.436800;43.312800;27572;3600Z;Captage, traitement et distribution d'eau;5.(f);Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
0005516277;SIRCOB;25290136800024;Kervoazou;29270;CARHAIX-PLOUGUER;FINISTERE;BRETAGNE;215628.000000;6817927.000000;4326;3811Z;Collecte des déchets non dangereux;;
0006303713;CPMV SARL;45369000000014;Le Bouillon;53140;LA PALLU;MAYENNE;PAYS-DE-LA-LOIRE;-0.299367;48.506266;27572;4520A;Entretien et réparation de véhicules automobiles légers;;
0005402438;FM Logistic;36780140400040;ZAE de Boulouze;21110;FAUVERNEY;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE;812630;2254242;27572;5210B;Entreposage et stockage non frigorifique;;
0009076003;STEP - MONTATAIRE;41003460701068;Chemin du Halage;60160;MONTATAIRE;OISE;HAUTS-DE-FRANCE;245373.000000;492498.000000;;4221Z;Construction de réseaux pour fluides;5.(f);Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
0005400595;TRMC SAS;30202014400317;La Montagne;71118;SAINT-MARTIN-BELLE-ROCHE;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE;841932.000000;6589080.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006606412;SARL C.R.I.H.L /centre recyclage inertes;52117841800013;Lieu-dit Le Réadet;48200;SAINT-CHELY-D'APCHER;LOZERE;OCCITANIE;723119.000000;6411520.000000;27572;3811Z;Collecte des déchets non dangereux;;
0006501133;SICA de Gouaix;44367467600012;usine de Flamboin, CD 49;77114;GOUAIX;SEINE-ET-MARNE;ILE-DE-FRANCE;722242.000000;6819217.000000;2154;4642Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;;
0006302379;AM-TEC;83073039600025;Route de l'Herbergement, 2 rue Saint-Eloi;85260;SAINT-ANDRE-TREIZE-VOIES;VENDEE;PAYS-DE-LA-LOIRE;364972.000000;6657667.000000;2154;2410Z;Sidérurgie;;
0006510693;LYCEE Gaspard MONGE;19910633700017;1 Place Monge (lycée), 4 rue de Viry (CFA);91600;SAVIGNY-SUR-ORGE;ESSONNE;ILE-DE-FRANCE;652771.000000;6842066.000000;2154;8531Z;Enseignement secondaire général;;
0005603217;ISDI COMMUNE DE COULEUVRE;21030087700011;Les Gasetières;03320;COULEUVRE;ALLIER;AUVERGNE-RHONE-ALPES;692067.000000;6621008.000000;2154;8411Z;Administration publique générale;;
0005100028;SODELEG;38388161200022;43 route de Chambry;02840;ATHIES-SOUS-LAON;AISNE;HAUTS-DE-FRANCE;748613.000000;6942702.000000;2154;1039A;Autre transformation et conservation de légumes;;
0006307466;ISDI de Doué La Fontaine;32933888300542;Sous la Barre, Doué la Fontaine;49700;DOUE-LA-FONTAINE;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;-0.246640;47.178537;4326;3811Z;Collecte des déchets non dangereux;;
0058501178;KERVALIS;40326425200046;Vendéopôle La Mongie - 1 rue du Cerne, LES ESSARTS;85140;LES ESSARTS;VENDEE;PAYS-DE-LA-LOIRE;380740.000000;6640126.000000;27572;1013A;Préparation industrielle de produits à base de viande;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0005402869;VALLOUREC UMBILICALS VU1 (ancien);41494779600044;9 rue de l'Oze;21150;VENAREY-LES-LAUMES;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE;808266.000000;6716256.000000;2154;2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;;
0058601079;MARIE SURGELES;52536146500012;8, rue de l'Industrie, Zone industrielle;86110;MIREBEAU;VIENNE;NOUVELLE-AQUITAINE;484412.000000;6635699.000000;4326;1085Z;Fabrication de plats préparés;;
0052902521;SCEA CORNEC;32865724200017;Quinquis meur;29800;PLOUEDERN;FINISTERE;BRETAGNE;166679.000000;6844939.000000;4326;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0006400164;FRANCE RECUPERATION RECYCLAGE;42470765100016;ZAC de GAVARY, Avenue Abraham Louis Breguet;83260;LA CRAU;VAR;PROVENCE-ALPES-COTE-D'AZUR;950183.000000;6230884.000000;27572;3832Z;Récupération de déchets triés;;
0005514369;DECHETERIE DE SAINT BRIEUC;20006940900049;rue chaptal;22000;SAINT-BRIEUC;COTES-D'ARMOR;BRETAGNE;277059.000000;6838840.000000;4326;8411Z;Administration publique générale;;
0005512513;DECHETERIE D'YFFINIAC;20006940900049;La Haute-Lande;22120;YFFINIAC;COTES-D'ARMOR;BRETAGNE;280792.000000;6835559.000000;4326;3811Z;Collecte des déchets non dangereux;;
0010011139;Déchetterie de Valençay;20004055800013;Les Portes;36600;VALENCAY;INDRE;CENTRE;591079.000000;6674170.000000;4326;3811Z;Collecte des déchets non dangereux;;
0025100057;CASSE AUTO SERVICES (ex. ESA);53102820700037;Plaine Souris, Rte de St Laurent;58200;COSNE-COURS-SUR-LOIRE;NIEVRE;BOURGOGNE-FRANCHE-COMTE;694331.000000;6693396.000000;2154;4511Z;Commerce de voitures et de véhicules automobiles légers;;
0005206024;Valerie RICOUL;43846606200017;10 route de Soulac;33340;GAILLAN-EN-MEDOC;GIRONDE;NOUVELLE-AQUITAINE;389730.000000;6477113.000000;2154;4532Z;Commerce de détail d'équipements automobiles;;
0007201452;PICOTY SA;77734738600057;6 à 22 Rue de Béthencourt, BP 2072       (+ archives etude dangers 696 A);17000;LA ROCHELLE;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;375333.000000;6571865.000000;2154;4671Z;Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;;
0005520359;Colas Ploërmel (ISDI Gourhel);32933888300674;Lieu-dit Le Moulin Brûlé;56800;GOURHEL;MORBIHAN;BRETAGNE;300685.000000;6773390.000000;2154;4211Z;Construction de routes et autoroutes;;
0005402224;COVED (ex. Ecopoles Services);48040102500022;LIEU DIT LA TERRE AU SEIGNEUR;21140;VIC-DE-CHASSENAY;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE;795914.000000;6711995.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0005211189;BORDEAUX METROPOLE;80822705200012;Quartier du Lac, Avenue de la Jallère;33000;BORDEAUX;GIRONDE;NOUVELLE-AQUITAINE;418591.000000;6426441.000000;2154;4931Z;Transports urbains et suburbains de voyageurs;;
0006700787;Lebronze Alloys;57219612900157;21 VIEUX CHEMIN DE BERGHEIM;67600;SELESTAT;BAS-RHIN;GRAND-EST;1028696.000000;6803402.000000;2154;2444Z;Métallurgie du cuivre;2.(e).(ii);destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux
0005801777;Etex France Exteriors;51533134600103;14 Avenue de l'Ile de France;27200;VERNON;EURE;NORMANDIE;589679.000000;6888831.000000;2154;4673A;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction;;
0006102304;PLASTIC OMNIUM COMPOSITES;30634863200036;ZI Saint Désirat, BP 3;07340;ANDANCE;ARDECHE;AUVERGNE-RHONE-ALPES;841300.000000;6463257.000000;2154;2932Z;Fabrication d'autres équipements automobiles;9.(c);Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an
0007006492;ALIPHOS ROTTERDAM BV;81451084800033;Port 4404, 4404 Route de Mardyck;59140;DUNKERQUE;NORD;HAUTS-DE-FRANCE;647535.000000;7102070.000000;2154;2015Z;Fabrication de produits azotés et d'engrais;4.(c);Installations chimiques destinées à la production industrielle d'engrais à base de phosphore, d'azote ou de potassium (engrais simples ou composés)
0005101930;FAIVELEY TRANSPORT AMIENS (EX SAB WABCO);70980607900022;ZI nord - rue andré Durouchez;80000;AMIENS;SOMME;HAUTS-DE-FRANCE;647718.000000;6981761.000000;2154;3020Z;Construction de locomotives et d'autre matériel ferroviaire roulant;;
0005600199;MOTTET PATRICE;31777056800010;Bannières;43300;CHASTEL;HAUTE-LOIRE;AUVERGNE-RHONE-ALPES;724635.000000;6441426.000000;2154;3832Z;Récupération de déchets triés;;
0006000324;SICAME STE;67552041500018;BP n° 1;19230;ARNAC-POMPADOUR;CORREZE;NOUVELLE-AQUITAINE;574084.000000;6479722.000000;2154;2712Z;Fabrication de matériel de distribution et de commande électrique;;
0006802424;SOCIETE TRAITEMENTS CHIMIQUES DES METAUX;64080189000040;30-32 avenue de Fondeyre;31200;TOULOUSE;HAUTE-GARONNE;OCCITANIE;573007.000000;6283297.000000;2154;2443Z;Métallurgie du plomb, du zinc ou de l'étain;2.(e).(ii);destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux
0010001132;FEDERAL MOGUL OPERATIONS FRANCE;43390774800019;Place Paul Bert;45140;SAINT-JEAN-DE-LA-RUELLE;LOIRET;CENTRE;564878.541000;2324256.775000;27572;2932Z;Fabrication d'autres équipements automobiles;;
0006002977;BORGWARNER TRANSMISSION SYSTEMS;77566763700034;ZAC DE LA MONTANE, 1 IMPASSE ALBERT COCHERY;19800;EYREIN;CORREZE;NOUVELLE-AQUITAINE;614366.000000;6470928.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0006400416;STEF Logistique SORGUES;78493968800213;375, Ave des Frères Lumière, ZAC du Fournalet;84700;SORGUES;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;851214.000000;6327064.000000;2154;5210A;Entreposage et stockage frigorifique;;
0006114606;COM. COMMUNES VERCORS - ISDI;20006776700018;Lieu dit Les Combes site de Loscence;26420;LA CHAPELLE-EN-VERCORS;DROME;AUVERGNE-RHONE-ALPES;888824.000000;6434094.000000;2154;8411Z;Administration publique générale;;
0005426135;CARME SA (ISDI Sennecey);40471651600012;Lieu dit  La Montagne, #4114;71240;SENNECEY-LE-GRAND;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE;842187.000000;6615988.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
